id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MCO579341239;Consola Ps4 1tb Fifa20 + 1 Control Ds4;1479900;250;200;buy_it_now;gold_special;True;1899900.0;MCO2931;Consolas y Videojuegos
MCO542948631;Consola Nintendo Switch Neon O Gris 32gb;1574900;1;250;buy_it_now;gold_special;True;1824900.0;MCO2931;Consolas y Videojuegos
MCO581057909;Fifa 21 Ps4 Juego Fifa 2021 Playstation 4 Fisico Standar;199900;150;250;buy_it_now;gold_special;True;329900.0;MCO163237;Consolas y Videojuegos
MCO486148456;Consola Ps4 Slim De 1tb +3 Juegos +plus 3 Meses;1699000;1;500;buy_it_now;gold_special;True;1899900.0;MCO2931;Consolas y Videojuegos
MCO539863256;Mini Consola Retro Sup Retro 400 In 1  + Control Atari;32900;500;500;buy_it_now;gold_pro;True;;MCO2931;Consolas y Videojuegos
MCO446513295;Nintendo Switch Neón Blue And Red + Estuche. Nueva Y Sellada;1599900;1;500;buy_it_now;gold_special;True;1899000.0;MCO2931;Consolas y Videojuegos
MCO581251417;Super Mario 3d All Stars Switch Nintendo Switch Fisico;239900;50;250;buy_it_now;gold_special;True;289900.0;MCO163237;Consolas y Videojuegos
MCO490994527;Mini Consola Retro Portatil Tipo Game Juegos Boy 400 Juegos ;31900;200;500;buy_it_now;gold_pro;True;;MCO2931;Consolas y Videojuegos
MCO446514421;Nintendo Switch + Zelda + M Kart 8 + Mario Odyssey + Estuche;2199900;1;250;buy_it_now;gold_special;True;2699900.0;MCO2931;Consolas y Videojuegos
MCO526238629;Audifono Diadema Cascos  Gamer Pro2 Para Ps4 Y Xbox One;73840;250;500;buy_it_now;gold_special;True;;MCO31377;Consolas y Videojuegos
MCO542948581;Nintendo Switch Con 3 Juegos Originales;2214900;1;150;buy_it_now;gold_special;True;2999900.0;MCO2931;Consolas y Videojuegos
MCO483583673;Ficha Wow, Tiempo De Juego World Of Warcraft, Token, 30 Dias;35000;1;500;buy_it_now;gold_special;True;;MCO163237;Consolas y Videojuegos
MCO581721411;Consola Xbox One S 1tb All Digital Refurbished;889900;1;50;buy_it_now;gold_special;True;1099900.0;MCO2931;Consolas y Videojuegos
MCO447612272;Nintendo Switch Neon + Super Mario Odyssey Fisico + Estuche;1819900;1;250;buy_it_now;gold_special;True;2199900.0;MCO2931;Consolas y Videojuegos
MCO447087020;Nintendo Switch Neon + Mario Kart 8 Delux +estuche;1819900;1;250;buy_it_now;gold_special;True;2199900.0;MCO2931;Consolas y Videojuegos
MCO462645877;Tarjeta Psn 20 Usd -  Entrega En Minutos;77800;50;5000;buy_it_now;gold_special;True;;MCO117061;Consolas y Videojuegos
MCO587114755;Consola Xbox One X 1tbbundle Tom Clancys The Division 2;1749900;1;25;buy_it_now;gold_special;True;2299900.0;MCO2931;Consolas y Videojuegos
MCO503739864;Audifonos Diadema Gamer Kotion G2000 Con Microfono;70000;50;500;buy_it_now;gold_special;True;;MCO31377;Consolas y Videojuegos
MCO559626503;Consola Portatil Juegos X7 Plus (emulador Nintendo & Family);159900;1;250;buy_it_now;gold_special;True;;MCO2931;Consolas y Videojuegos
MCO556689128;Suscripción A Nintendo Switch Online 1 Año Activación Rápida;28999;50;500;buy_it_now;gold_pro;True;;MCO163237;Consolas y Videojuegos
MCO578865156;Consola Mp5 Psp Portatil 500 Juegos Super Nintendo 5.1 ;165000;1;250;buy_it_now;gold_special;True;;MCO2931;Consolas y Videojuegos
MCO558179702;Mini Consola Retro Portatil Tipo Game Boy 400 Juegos Control;34350;1;250;buy_it_now;gold_special;True;;MCO2931;Consolas y Videojuegos
MCO533950971;Consola De Juegos Retro Portátil 8 Bits + Control Con Cable;32900;250;500;buy_it_now;gold_special;True;;MCO2931;Consolas y Videojuegos
MCO478435146;Tarjeta Psn 10 Usd Playstation Gift Card Ps4 Ps3 Disponible;38900;1;5000;buy_it_now;gold_special;True;;MCO117061;Consolas y Videojuegos
MCO577247080;Consola Xbox One S 1tb;1399900;1;50;buy_it_now;gold_special;True;1699900.0;MCO2931;Consolas y Videojuegos
MCO567226227;The Last Of Us 2 Ps4 Formato Fisico Juego Playstation 4;139900;50;250;buy_it_now;gold_special;True;;MCO163237;Consolas y Videojuegos
MCO558041379;Consola Playstation 4 Slim De 1tb 3 Juegos Plus 3 Meses Ps4;1703900;1;50;buy_it_now;gold_special;True;1835900.0;MCO2931;Consolas y Videojuegos
