id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;condition;accepts_mercadopago;original_price;category_id;seller_level_id;seller_powerseller;positive_rating;negative_rating;neutral_rating;free_shipping;store_pickup;number_of_tags;is_official_store;month_update;year_update;year_created;month_created;total_questions;category_name
MCO570250606;Portatil Dell Inspiron 3493 Core I3 10th Gen 1tb 8gb Win10;1689200;1;150;buy_it_now;gold_special;new;True;;MCO1652;5_green;platinum;0.94;0.03;0.03;True;False;4;False;07;2020;2020;07;366.0;Computación
MCO580456081;Pc Equipo Torre Gamer Ryzen 5 3400g B450m Ssd 240gb Ram 16gb;2699000;1;50;buy_it_now;gold_special;new;True;;MCO1649;5_green;platinum;0.87;0.08;0.05;True;False;6;False;12;2020;2020;09;585.0;Computación
MCO464435851;Repetidor Amplificador Wifi Xiaomi Pro Rompemuros ;53800;500;5000;buy_it_now;gold_special;new;True;;MCO430901;5_green;platinum;0.95;0.03;0.02;False;False;7;False;10;2020;2018;02;1645.0;Computación
MCO591974362;Portátil Lenovo Thinkbook Core I3 10ma 12gb 1tb 14 Windows10;1999000;1;50;buy_it_now;gold_special;new;True;;MCO1652;5_green;platinum;0.96;0.02;0.02;True;False;4;False;10;2020;2020;11;67.0;Computación
MCO583237982;Pc Torre Gamer Ryzen 3 3200g A320m Ssd 240gb Ram 8gb Mon 22 ;1749000;1;50;buy_it_now;gold_special;new;True;;MCO1649;5_green;platinum;0.87;0.08;0.05;True;False;5;False;12;2020;2020;09;474.0;Computación
MCO526238629;Audifono Diadema Cascos  Gamer Pro2 Para Ps4 Y Xbox One;73820;250;500;buy_it_now;gold_special;new;True;;MCO31377;5_green;platinum;0.93;0.03;0.04;True;False;6;False;07;2019;2019;08;1908.0;Computación
MCO562282515;Portatil Gamer Asus 15.6 Ryzen5 16 Ram 512 Ssd 4gb Graficos;3999000;1;50;buy_it_now;gold_special;new;True;4500000.0;MCO1652;5_green;platinum;0.94;0.03;0.03;True;False;5;False;05;2020;2020;05;310.0;Computación
MCO550553577;Disco Estado Solido Ssd 240gb Kingston A400 2.5 Nuevo @pd;139900;50;500;buy_it_now;gold_special;new;True;;MCO1672;5_green;platinum;0.97;0.01;0.02;True;False;6;False;11;2020;2020;02;989.0;Computación
MCO569350194;Pc Torre Gamer Fnatic Ryzen 5 3400g B450m Ssd 240gb Ram 16gb;2679900;1;50;buy_it_now;gold_special;new;True;;MCO1649;5_green;platinum;0.93;0.03;0.04;True;False;4;False;12;2020;2020;07;1234.0;Computación
MCO578135392;Portátil Dell 3490 I5 10ma Ssd 256gb + Hdd 1tb 12gb Win10p  ;2299900;1;25;buy_it_now;gold_special;new;True;;MCO1652;5_green;platinum;0.94;0.03;0.03;True;False;4;False;11;2020;2020;08;72.0;Computación
MCO452503464;Mini Teclado Inalámbrico Airmouse Android Smart Tv Iluminado;19900;500;5000;buy_it_now;gold_special;new;True;;MCO6263;5_green;platinum;0.95;0.02;0.03;False;False;6;False;06;2019;2017;07;3004.0;Computación
MCO560659655;Cable De Red Internet Ethernet Cat 6 - Por Metros Blanco;2000;500;5000;buy_it_now;gold_special;new;True;;MCO54154;5_green;gold;0.98;0.01;0.01;False;False;5;False;04;2020;2020;04;622.0;Computación
MCO591419392;Asus A15 Ryzen 7 4800h Gtx 1650 Ti 16g 144h Portatil Gamer;4399999;1;5;buy_it_now;gold_special;new;True;;MCO1652;5_green;platinum;0.99;0.01;0.0;True;False;5;False;10;2020;2020;10;106.0;Computación
MCO561800464;Torre Cpu Gamer Ryzen 5 3400g Vega 11 1tb 8gb Pc;1749900;1;200;buy_it_now;gold_special;new;True;;MCO1649;5_green;gold;0.93;0.03;0.04;True;False;4;False;12;2020;2020;05;3563.0;Computación
MCO550553624;Disco Estado Solido Ssd 480gb Kingston A400 2.5 Nuevo @pd;224900;50;500;buy_it_now;gold_special;new;True;;MCO1672;5_green;platinum;0.97;0.01;0.02;True;False;6;False;11;2020;2020;02;1074.0;Computación
MCO562268480;Portátil Asus Zenbook 14 Um431da Amd Ryzen 5 Vega 8 Ram 8gb;2990000;1;200;buy_it_now;gold_special;new;True;;MCO1652;5_green;gold;0.95;0.02;0.03;True;False;4;True;11;2020;2020;05;675.0;Computación
MCO561795506;Torre Cpu Gamer Ryzen 3 3200g Vega 8 1tb 8gb Pc;1449900;1;150;buy_it_now;gold_special;new;True;;MCO1649;5_green;gold;0.93;0.03;0.04;True;False;5;False;12;2020;2020;05;2049.0;Computación
MCO560938158;Cable Utp Categoría 6 Gigabit Red Internet Ponchado X Metro;1200;500;500;buy_it_now;gold_special;new;True;;MCO54154;5_green;platinum;0.98;0.0;0.02;False;False;5;False;05;2020;2020;06;153.0;Computación
