id;title;price;available_quantity;sold_quantity;buying_mode;listing_type_id;accepts_mercadopago;original_price;category_id;category_name
MLA901232037;Galletita Don Satur Bizcochos  Grasa Salado 200 g;50.0;185;43;buy_it_now;gold_special;True;;MLA389314;Alimentos y Bebidas
MLA720145713;Canasta De Frutas Y Verduras (familiar) ;1357.0;150;500;buy_it_now;gold_special;True;;MLA410888;Alimentos y Bebidas
MLA826427512;Almendras Peladas X 1kg - Envios A Todo El Pais;1200.0;50;5000;buy_it_now;gold_special;True;;MLA1425;Alimentos y Bebidas
MLA877021398;Tofu Tradicional 800g Natural Pasteurizado Sin Colesterol;324.45;250;250;buy_it_now;gold_special;True;;MLA410888;Alimentos y Bebidas
MLA846880232;Bizcochitos De Grasa Don Satur 200g Biscochos Paquete X1;43.0;150;5000;buy_it_now;gold_special;True;50.0;MLA389314;Alimentos y Bebidas
MLA718290730;Pernil De Cerdo 20 Personas + Panes + Salsas;3100.0;1;500;buy_it_now;gold_special;True;;MLA413963;Alimentos y Bebidas
MLA725484133;Chivas Regal 12 Años Whisky Escocés Botella 1 L + Estuche;3059.0;500;500;buy_it_now;gold_special;True;3407.0;MLA10511;Alimentos y Bebidas
MLA873914297;Arvejas Molto T.recart 340 Gr;37.0;500;5000;buy_it_now;gold_special;True;47.0;MLA40992;Alimentos y Bebidas
MLA664095606;Pata De Jamón Crudo Tipo Ibérico;5890.0;250;250;buy_it_now;gold_special;True;;MLA410879;Alimentos y Bebidas
MLA871742156;Arándanos Congelados Iqf X 1kg - Mataderos -;370.0;1;150;buy_it_now;gold_special;True;;MLA410888;Alimentos y Bebidas
MLA845507664;Galletitas De Agua Mediatarde Tripack 330g Galletas Crackers;72.0;250;5000;buy_it_now;gold_special;True;80.0;MLA389314;Alimentos y Bebidas
MLA845506429;Jugo Baggio Sabor Naranja X 1 Litro Pronto Natural Bebida;89.0;150;500;buy_it_now;gold_special;True;;MLA403658;Alimentos y Bebidas
MLA834823574;Capsulas Dolce Gusto Caja X16cap. En Flores. Hiperofertas;446.99;500;5000;buy_it_now;gold_special;True;;MLA409412;Alimentos y Bebidas
